CompanyCode,Issuer,URL,🌐,Formed,Issue,Shares,Stake,Holding date
00005,HSBC BANK PLC,https://webb-site.com/dbpub/orgdata.asp?p=58150,GB,1880-07-01,Ordinary shares, ,100.00%,2012-12-31
00005,HSBC BROKING (CHINA) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50857,HK,1993-04-20,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC BROKING FOREX (ASIA) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50858,HK,1994-09-20,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC BROKING FUTURES (ASIA) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50859,HK,1986-07-08,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC BROKING FUTURES (HONG KONG) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50860,HK,1984-08-07,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC BROKING SECURITIES (ASIA) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50861,HK,1993-10-14,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC BROKING SECURITIES (HONG KONG) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50855,HK,1983-09-08,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC BROKING SERVICES (ASIA) LIMITED (HK),https://webb-site.com/dbpub/orgdata.asp?p=10818,HK,1982-05-21,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC Corporate Finance (Hong Kong) Limited,https://webb-site.com/dbpub/orgdata.asp?p=50862,HK,1995-07-04,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC FINANCE (NETHERLANDS),https://webb-site.com/dbpub/orgdata.asp?p=2426591,GB,1993-05-05,Ordinary shares, ,100.00%,2012-12-31
00005,HSBC Global Asset Management (Hong Kong) Limited,https://webb-site.com/dbpub/orgdata.asp?p=16058,HK,1973-03-09,Ordinary shares, ,100.00%,2012-12-31
00005,HSBC INSURANCE HOLDINGS LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=21343,GB,1969-06-17,Ordinary shares, ,100.00%,2012-12-31
00005,HSBC North America Holdings Inc.,https://webb-site.com/dbpub/orgdata.asp?p=1994036,US,,Ordinary shares, ,100.00%, 
00005,HSBC SECURITIES (ASIA) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=35347,HK,1973-05-18,Ordinary shares, ,100.00%,2008-12-31
00005,HSBC SECURITIES BROKERS (ASIA) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50856,HK,1993-07-08,Ordinary shares, ,100.00%,2008-12-31
00005,IBUSINESSCORPORATION.COM LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=10767,HK,2000-01-12,Ordinary shares, , ,2000-06-20
00011,BARROWGATE LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=1661,HK,1987-07-24,Ordinary shares, ,24.64%,2013-12-31
00011,HANG SENG (NOMINEE) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=162853,HK,1963-12-03,Ordinary shares, ,100.00%,2013-12-31
00011,Hang Seng Bank (China) Limited,https://webb-site.com/dbpub/orgdata.asp?p=44640,CN,,Ordinary shares, ,100.00%,2013-12-31
00011,HANG SENG BANK (TRUSTEE) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=162854,HK,1963-12-03,Ordinary shares, ,100.00%,2013-12-31
00011,HANG SENG BANK TRUSTEE INTERNATIONAL LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=149051,BS,,Ordinary shares, ,100.00%,2012-12-31
00011,HANG SENG CREDIT LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=249901,HK,1981-05-08,Ordinary shares, ,100.00%,2013-12-31
00011,HANG SENG FINANCE LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=26437,HK,1972-01-25,Ordinary shares, ,100.00%,2013-12-31
00011,Hang Seng Indexes Company Limited,https://webb-site.com/dbpub/orgdata.asp?p=56825,HK,1984-04-06,Ordinary shares, ,100.00%,2013-12-31
00011,Hang Seng Insurance Company Limited,https://webb-site.com/dbpub/orgdata.asp?p=29488,,,Ordinary shares, ,100.00%,2013-12-31
00011,HANG SENG INVESTMENT MANAGEMENT LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=70118,HK,1993-04-01,Ordinary shares, ,100.00%,2013-12-31
00011,HANG SENG LIFE LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=3915,HK,1974-02-12,Ordinary shares, ,100.00%,2013-12-31
00011,HANG SENG REAL ESTATE MANAGEMENT LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=269055,HK,1982-09-24,Ordinary shares, ,100.00%,2013-12-31
00011,HANG SENG SECURITIES LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=50840,HK,1988-07-15,Ordinary shares, ,100.00%,2013-12-31
00011,HASEBA INVESTMENT COMPANY LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=172380,HK,1970-01-06,Ordinary shares, ,100.00%,2013-12-31
00011,HIGH TIME INVESTMENTS LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=460566,HK,1991-05-14,Ordinary shares, ,100.00%,2013-12-31
00011,IBUSINESSCORPORATION.COM LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=10767,HK,2000-01-12,Ordinary shares, , ,2000-06-20
00011,YAN NIN DEVELOPMENT COMPANY LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=195631,HK,1975-05-27,Ordinary shares, ,100.00%,2013-12-31
00023,Bank of East Asia (China) Limited,https://webb-site.com/dbpub/orgdata.asp?p=42392,CN,,Ordinary shares, ,100.00%,2011-12-31
00023,BLUE CROSS (ASIA-PACIFIC) INSURANCE LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=134733,HK,1969-11-21,Ordinary shares, ,100.00%,2010-12-31
00023,East Asia Secretaries (BVI) Limited,https://webb-site.com/dbpub/orgdata.asp?p=22553,VG,,Ordinary shares, ,75.60%,2008-12-31
00023,EAST ASIA SECURITIES COMPANY LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=21200,HK,1985-05-28,Ordinary shares, ,100.00%,2008-12-31
00023,Tricor Holdings Limited (VG),https://webb-site.com/dbpub/orgdata.asp?p=16637,VG,,Ordinary shares, ,75.60%,2006-12-31
00023,Tung Shing Holdings Company Limited,https://webb-site.com/dbpub/orgdata.asp?p=6801,VG,,Ordinary shares, ,25.00%,2004-12-31
00440,Cycle Chance Limited,https://webb-site.com/dbpub/orgdata.asp?p=2586806,VG,,Ordinary shares, ,100.00%,2015-12-31
00440,DAH SING COMPANY LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=163475,HK,1964-05-13,Ordinary shares, ,100.00%,2015-12-31
00440,Dah Sing Holdings Limited,https://webb-site.com/dbpub/orgdata.asp?p=2586800,BM,1989-08-18,Ordinary shares, ,100.00%,2015-12-31
00440,DAH SING INSURANCE AGENCY LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=339335,HK,1987-04-28,Ordinary shares, ,100.00%,2015-12-31
00440,DAH SING INSURANCE COMPANY (1976) LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=201677,HK,1976-08-20,Ordinary shares, ,100.00%,2015-12-31
00440,DAH SING INSURANCE COMPANY LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=134724,BM,1998-07-14,Ordinary shares, ,100.00%,2015-12-31
00440,Dah Sing International Limited,https://webb-site.com/dbpub/orgdata.asp?p=2586801,BM,1990-07-26,Ordinary shares, ,100.00%,2015-12-31
00440,Dah Sing Medical Science Investment Incorporated,https://webb-site.com/dbpub/orgdata.asp?p=2586802,VG,,Ordinary shares, ,100.00%,2015-12-31
00440,DAH SING SECRETARIAL SERVICES LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=345998,HK,1987-07-28,Ordinary shares, ,100.00%,2015-12-31
00440,DSE INVESTMENT SERVICES LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=626642,HK,1994-04-28,Ordinary shares, ,100.00%,2015-12-31
00440,DSFH LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=840936,HK,1999-10-22,Ordinary shares, ,100.00%,2015-12-31
00440,Filey Investment Corporation,https://webb-site.com/dbpub/orgdata.asp?p=2586803,PA,,Ordinary shares, ,100.00%,2015-12-31
00440,High Standard Investment Ltd.,https://webb-site.com/dbpub/orgdata.asp?p=2586804,VG,,Ordinary shares, ,100.00%,2015-12-31
00440,"LUEN FUNG INVESTMENT COMPANY, LIMITED",https://webb-site.com/dbpub/orgdata.asp?p=157839,HK,1955-09-21,Ordinary shares, ,100.00%,2015-12-31
00440,Macau Insurance Company Limited,https://webb-site.com/dbpub/orgdata.asp?p=2586807,MO,,Ordinary shares, ,96.00%,2015-12-31
00440,Macau Life Insurance Company Limited,https://webb-site.com/dbpub/orgdata.asp?p=2586808,MO,,Ordinary shares, ,96.00%,2015-12-31
00440,NEWINNER INVESTMENTS LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=611590,HK,1994-01-18,Ordinary shares, ,100.00%,2015-12-31
00440,TAHOE INSURANCE SERVICES LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=311116,HK,1985-09-27,Ordinary shares, ,100.00%,2015-12-31
00440,TAHOE LIFE INSURANCE COMPANY LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=131556,BM,1989-11-01,Ordinary shares, ,100.00%,2015-12-31
00440,Upway Wealth International Limited,https://webb-site.com/dbpub/orgdata.asp?p=2586805,VG,,Ordinary shares, ,100.00%,2015-12-31
00440,WOF ESCROW LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=181749,HK,1972-07-21,Ordinary shares, ,100.00%,2015-12-31
00440,WORLD PROSPER LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=1037989,HK,2004-03-19,Ordinary shares, ,100.00%,2015-12-31
00626,NET ALLIANCE CO. LIMITED,https://webb-site.com/dbpub/orgdata.asp?p=858671,HK,2000-03-27,Ordinary shares, ,17.60%,2013-12-31
