CompanyCode,Issuer,Domicile:,Shares,Stake,Holding date,Formed,Issue,Dissolved date:,Formed,Incorporation number:,Last check on companies registry:,PIBA ID:,Primary Listing:,SFC ID:,Status:,Type:,Web sites:,Year-end:,URL
5,HSBC BANK PLC,England & Wales, ,100.00%,2012-12-31,1880-07-01,Ordinary shares,,1880-07-01,00014259,2020-01-03,,,,Active,"Public, ltd by shares",,,https://webb-site.com/dbpub/orgdata.asp?p=58150
5,HSBC BROKING (CHINA) LIMITED 滙豐金融(中國)有限公司,Hong Kong, ,100.00%,2008-12-31,1993-04-20,Ordinary shares,2016-05-23,1993-04-20,0416315,2019-11-02,,,ACB931,Members' vol. wind-up,"Private, ltd by shares",,,https://webb-site.com/dbpub/orgdata.asp?p=50857
5,HSBC BROKING FOREX (ASIA) LIMITED 滙豐金融外匯(亞洲)有限公司,Hong Kong, ,100.00%,2008-12-31,1994-09-20,Ordinary shares,,1994-09-20,0491803,2019-12-07,,,ACL069,Active,"Private, ltd by shares",www.hsbc.com.hk/broking,,https://webb-site.com/dbpub/orgdata.asp?p=50858
5,HSBC BROKING FUTURES (ASIA) LIMITED 滙豐金融期貨(亞洲)有限公司,Hong Kong, ,100.00%,2008-12-31,1986-07-08,Ordinary shares,,1986-07-08,0171476,2019-12-07,,,AAG075,Active,"Private, ltd by shares",www.hsbc.com.hk/broking,,https://webb-site.com/dbpub/orgdata.asp?p=50859
5,HSBC BROKING FUTURES (HONG KONG) LIMITED 滙豐金融期貨(香港)有限公司,Hong Kong, ,100.00%,2008-12-31,1984-08-07,Ordinary shares,,1984-08-07,0140221,2019-12-07,,,AAA530,Active,"Private, ltd by shares",www.hsbcnet.com/gbm/products-services/trading-sales/futures-options.html,,https://webb-site.com/dbpub/orgdata.asp?p=50860
5,HSBC BROKING SECURITIES (ASIA) LIMITED 滙豐金融證券(亞洲)有限公司,Hong Kong, ,100.00%,2008-12-31,1993-10-14,Ordinary shares,,1993-10-14,0451577,2019-12-07,,,ABX727,Active,"Private, ltd by shares",www.hsbc.com.hk/broking,,https://webb-site.com/dbpub/orgdata.asp?p=50861
5,HSBC BROKING SECURITIES (HONG KONG) LIMITED 滙豐金融證券(香港)有限公司,Hong Kong, ,100.00%,2008-12-31,1983-09-08,Ordinary shares,,1983-09-08,0128111,2019-10-23,,,AAA529,Active,"Private, ltd by shares",www.hsbc.com.hk/broking,,https://webb-site.com/dbpub/orgdata.asp?p=50855
5,HSBC BROKING SERVICES (ASIA) LIMITED (HK) 滙豐金融服務(亞洲)有限公司,Hong Kong, ,100.00%,2008-12-31,1982-05-21,Ordinary shares,,1982-05-21,0112355,2019-10-23,,,,Active,"Private, ltd by shares",,,https://webb-site.com/dbpub/orgdata.asp?p=10818
5,HSBC Corporate Finance (Hong Kong) Limited,Hong Kong, ,100.00%,2008-12-31,1995-07-04,Ordinary shares,,1995-07-04,0519411,2019-12-07,,,ACX287,Active,"Private, ltd by shares",,,https://webb-site.com/dbpub/orgdata.asp?p=50862
5,HSBC FINANCE (NETHERLANDS),England & Wales, ,100.00%,2012-12-31,1993-05-05,Ordinary shares,,1993-05-05,02815114,2020-01-12,,,,Active,Private unlimited company,,,https://webb-site.com/dbpub/orgdata.asp?p=2426591
