,CompanyCode,Type,Market,Code,List,Last trade,Delist,Notes
0,5,Ordinary shares,HK Main,0005,,,,
1,5,"Ordinary, GBP",HK Main,0150,,1999-07-02,1999-07-05,Converted to ord
2,5,Nil-paid rights 2009-04-0,HK Main,2997,2009-03-23,2009-03-31,2009-04-01,Expired
3,11,Ordinary shares,HK Main,0011,1972-06-20,,,
4,11,Note/bond 2017-0,HK Main,1602,2007-07-06,2012-07-17,2012-07-23,Redeemed
5,23,Ordinary shares,HK Main,0023,1939-01-01,,,
6,23,Note/bond,HK Main,5583,2015-12-03,,,
7,23,Note/bond,HK Main,5204,2017-05-19,,,
8,23,Note/bond,HK Main,6020,2019-09-20,,,
9,23,Note/bond 2024-11-2,HK Main,5833,2014-11-21,,,
10,23,Note/bond 2026-11-0,HK Main,5902,2016-11-04,,,
11,416,PRC ordinary shares listed in HK,HK Main,0416,2015-12-07,,,
12,416,Preference,HK Main,4615,2017-10-30,,,
13,440,Ordinary shares,HK Main,0440,1987-11-05,,,
14,440,Nil-paid rights 2010-12-1,HK Main,2954,2010-11-30,2010-12-07,2010-12-08,Expired
15,440,Nil-paid rights 2014-04-2,HK Main,2991,2014-04-09,2014-04-16,2014-04-17,Expired
16,626,Ordinary shares,HK Main,0626,1991-10-03,,,
17,626,Warrant 1994-12-3,HK Main,0627,1991-10-03,1994-12-23,1995-01-03,Expired
18,626,Nil-paid rights 2006-04-0,HK Main,2942,2006-03-21,2006-03-29,2006-03-30,Expired
19,939,PRC ordinary shares listed in HK,HK Main,0939,2005-10-27,,,
20,939,A-share,Shang,601939,2007-09-25,,,
21,939,Preference,HK Main,4606,2015-12-17,,,
22,939,Nil-paid rights 2010-12-0,HK Main,2948,2010-11-23,2010-12-03,2010-12-06,Expired
23,939,Note/bond 2019-09-3,HK Main,4564,2016-10-03,2019-09-25,2019-10-02,Expired
24,939,Note/bond 2020-01-2,HK Main,5860,2015-01-21,,,
25,939,Note/bond 2020-05-3,HK Main,5212,2017-06-01,,,
26,939,Note/bond 2020-12-0,HK Main,5049,2017-12-05,,,
27,939,Note/bond 2020-12-0,HK Main,5051,2017-12-05,,,
28,939,Note/bond 2021-06-0,HK Main,5111,2018-06-11,,,
29,939,Note/bond 2021-09-2,HK Main,5173,2018-09-26,,,
30,939,Note/bond 2021-10-2,HK Main,5711,2016-10-24,,,
31,939,Note/bond 2022-06-1,HK Main,5217,2017-06-14,,,
32,939,Note/bond 2022-10-2,HK Main,40027,2019-10-23,,,
33,939,Note/bond 2022-12-0,HK Main,5050,2017-12-05,,,
34,939,Note/bond 2023-06-0,HK Main,5112,2018-06-11,,,
35,939,Note/bond 2024-10-2,HK Main,40035,2019-10-25,,,
36,939,Note/bond 2024-11-1,HK Main,85998,2014-11-13,,,
37,939,Note/bond 2025-05-1,HK Main,5514,2015-05-14,,,
38,939,Note/bond 2029-02-2,HK Main,5802,2019-02-28,,,
39,998,PRC ordinary shares listed in HK,HK Main,0998,2007-04-27,,,
40,998,A-share,Shang,601998,2007-04-27,,,
41,998,Nil-paid rights 2011-07-2,HK Main,2940,2011-07-13,2011-07-20,2011-07-21,Expired
42,998,Note/bond 2017-02-2,HK Main,85949,2014-02-28,2017-02-22,2017-02-28,Expired
43,998,Note/bond 2020-12-1,HK Main,5066,2017-12-15,,,
44,998,Note/bond 2020-12-1,HK Main,5068,2017-12-15,,,
45,998,Note/bond 2022-12-1,HK Main,5069,2017-12-15,,,
46,998,Note/bond 2022-12-1,HK Main,5067,2017-12-15,,,
47,1111,Ordinary shares,HK Main,1111,1994-07-11,,,
48,1111,Nil-paid rights 2015-09-1,HK Main,2982,2015-09-04,2015-09-11,2015-09-14,Expired
49,1111,Nil-paid rights 2018-09-1,HK Main,2975,2018-09-04,2018-09-11,2018-09-12,Expired
50,1111,Note/bond,HK Main,4419,2019-07-16,,,
51,1111,Note/bond,HK Main,5804,2014-09-26,2019-09-30,2019-10-08,Redeemed
52,1111,Note/bond 2016-12-1,HK Main,1510,2006-12-18,2012-01-04,2012-01-10,Redeemed
53,1111,Note/bond 2020-11-0,HK Main,4327,2010-11-05,,,
54,1111,Note/bond 2027-07-2,HK Main,5249,2017-07-27,,,
55,1216,PRC ordinary shares listed in HK,HK Main,1216,2017-07-19,,,
56,1216,Preference,HK Main,4617,2018-11-22,,,
57,1288,PRC ordinary shares listed in HK,HK Main,1288,2010-07-16,,,
58,1288,A-share,Shang,601288,2010-07-15,,,
59,1288,Note/bond 2017-10-1,HK Main,5813,2014-10-17,2017-10-11,2017-10-17,Expired
60,1288,Note/bond 2017-12-0,HK Main,5852,2014-12-10,2017-12-06,2017-12-12,Expired
61,1288,Note/bond 2018-12-1,HK Main,6001,2013-12-11,2018-12-05,2018-12-11,Expired
62,1288,Note/bond 2019-05-1,HK Main,5657,2016-06-03,2019-05-10,2019-05-17,Expired
63,1288,Note/bond 2019-05-1,HK Main,5658,2016-06-03,2019-05-10,2019-05-17,Expired
64,1288,Note/bond 2019-12-0,HK Main,5322,2016-12-08,,,
65,1288,Note/bond 2020-09-1,HK Main,5277,2017-09-20,,,
66,1288,Note/bond 2021-06-2,HK Main,5677,2016-06-22,,,
67,1288,Note/bond 2021-09-1,HK Main,5168,2018-09-20,,,
68,1288,Note/bond 2021-09-1,HK Main,5169,2018-09-20,,,
69,1288,Note/bond 2021-11-0,HK Main,5025,2018-11-08,,,
70,1288,Note/bond 2022-07-3,HK Main,5609,2019-07-31,,,
71,1288,Note/bond 2023-11-0,HK Main,5028,2018-11-08,,,
72,1398,PRC ordinary shares listed in HK,HK Main,1398,2006-10-27,,,
73,1398,A-share,Shang,601398,2006-10-27,,,
74,1398,Preference,HK Main,4604,2014-12-11,,,
75,1398,Preference,HK Main,84602,2014-12-11,,2019-12-12,Redeemed
76,1398,Preference,HK Main,4603,2014-12-11,,2019-12-12,Redeemed
77,1398,Nil-paid rights 2010-12-1,HK Main,2951,2010-12-01,2010-12-13,2010-12-14,Expired
78,1398,Note/bond 2017-03-0,HK Main,5706,2014-03-04,2017-02-28,2017-03-06,Expired
79,1398,Note/bond 2019-05-2,HK Main,5653,2016-05-24,2019-05-20,2019-05-24,Expired
80,1398,Note/bond 2019-12-0,HK Main,5318,2016-12-05,,,
81,1398,Note/bond 2020-02-2,HK Main,5373,2017-02-22,,,
82,1398,Note/bond 2020-03-1,HK Main,5401,2017-03-14,,,
83,1398,Note/bond 2020-06-2,HK Main,5225,2017-06-28,,,
84,1398,Note/bond 2020-09-1,HK Main,85906,2019-09-17,,,
85,1398,Note/bond 2021-09-1,HK Main,6012,2019-09-17,,,
