CompanyCode,Issuer,🌐,Formed,Issue,Shares,Stake,Holding date
00005,HSBC BANK PLC (orgdata.asp?p=58150),GB,1880-07-01,Ordinary shares, ,2012-12-31,2012-12-31
00005,HSBC BROKING (CHINA) LIMITED (orgdata.asp?p=50857),HK,1993-04-20,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC BROKING FOREX (ASIA) LIMITED (orgdata.asp?p=50858),HK,1994-09-20,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC BROKING FUTURES (ASIA) LIMITED (orgdata.asp?p=50859),HK,1986-07-08,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC BROKING FUTURES (HONG KONG) LIMITED (orgdata.asp?p=50860),HK,1984-08-07,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC BROKING SECURITIES (ASIA) LIMITED (orgdata.asp?p=50861),HK,1993-10-14,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC BROKING SECURITIES (HONG KONG) LIMITED (orgdata.asp?p=50855),HK,1983-09-08,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC BROKING SERVICES (ASIA) LIMITED (HK) (orgdata.asp?p=10818),HK,1982-05-21,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC Corporate Finance (Hong Kong) Limited (orgdata.asp?p=50862),HK,1995-07-04,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC FINANCE (NETHERLANDS) (orgdata.asp?p=2426591),GB,1993-05-05,Ordinary shares, ,2012-12-31,2012-12-31
00005,HSBC Global Asset Management (Hong Kong) Limited (orgdata.asp?p=16058),HK,1973-03-09,Ordinary shares, ,2012-12-31,2012-12-31
00005,HSBC INSURANCE HOLDINGS LIMITED (orgdata.asp?p=21343),GB,1969-06-17,Ordinary shares, ,2012-12-31,2012-12-31
00005,HSBC North America Holdings Inc. (orgdata.asp?p=1994036),US,,Ordinary shares, , , 
00005,HSBC SECURITIES (ASIA) LIMITED (orgdata.asp?p=35347),HK,1973-05-18,Ordinary shares, ,2008-12-31,2008-12-31
00005,HSBC SECURITIES BROKERS (ASIA) LIMITED (orgdata.asp?p=50856),HK,1993-07-08,Ordinary shares, ,2008-12-31,2008-12-31
00005,IBUSINESSCORPORATION.COM LIMITED (orgdata.asp?p=10767),HK,2000-01-12,Ordinary shares, ,2000-06-20,2000-06-20
00011,BARROWGATE LIMITED (orgdata.asp?p=1661),HK,1987-07-24,Ordinary shares, ,2013-12-31,2013-12-31
00011,HANG SENG (NOMINEE) LIMITED (orgdata.asp?p=162853),HK,1963-12-03,Ordinary shares, ,2013-12-31,2013-12-31
00011,Hang Seng Bank (China) Limited (orgdata.asp?p=44640),CN,,Ordinary shares, ,2013-12-31,2013-12-31
00011,HANG SENG BANK (TRUSTEE) LIMITED (orgdata.asp?p=162854),HK,1963-12-03,Ordinary shares, ,2013-12-31,2013-12-31
00011,HANG SENG BANK TRUSTEE INTERNATIONAL LIMITED (orgdata.asp?p=149051),BS,,Ordinary shares, ,2012-12-31,2012-12-31
00011,HANG SENG CREDIT LIMITED (orgdata.asp?p=249901),HK,1981-05-08,Ordinary shares, ,2013-12-31,2013-12-31
