Name,SFCLink,ROs,Reps,Total,Reps v total%,LicenseStats,Licensed
Morgan Stanley Asia Limited,SFClicensees.asp?p=1464&a=0&h=Y&sort=posdn&d=2020-01-22,43,930,973,95.58,SFChistfirm.asp?p=1464&a=0,2006-04-07
GOLDMAN SACHS (ASIA) L.L.C.,SFClicensees.asp?p=5596&a=0&h=Y&sort=posdn&d=2020-01-22,39,831,870,95.52,SFChistfirm.asp?p=5596&a=0,
CHINA INTERNATIONAL CAPITAL CORPORATION HONG KONG SECURITIES LIMITED,SFClicensees.asp?p=46811&a=0&h=Y&sort=posdn&d=2020-01-22,49,792,841,94.17,SFChistfirm.asp?p=46811&a=0,2008-08-20
KGI ASIA LIMITED,SFClicensees.asp?p=15472&a=0&h=Y&sort=posdn&d=2020-01-22,25,712,737,96.61,SFChistfirm.asp?p=15472&a=0,2017-10-03
CONVOY ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=44749&a=0&h=Y&sort=posdn&d=2020-01-22,25,673,698,96.42,SFChistfirm.asp?p=44749&a=0,2007-07-04
Citigroup Global Markets Asia Limited,SFClicensees.asp?p=18311&a=0&h=Y&sort=posdn&d=2020-01-22,28,562,590,95.25,SFChistfirm.asp?p=18311&a=0,2008-03-31
NOMURA INTERNATIONAL (HONG KONG) LIMITED,SFClicensees.asp?p=1440&a=0&h=Y&sort=posdn&d=2020-01-22,14,526,540,97.41,SFChistfirm.asp?p=1440&a=0,
SUN HUNG KAI INVESTMENT SERVICES LIMITED,SFClicensees.asp?p=47832&a=0&h=Y&sort=posdn&d=2020-01-22,22,516,538,95.91,SFChistfirm.asp?p=47832&a=0,
Credit Suisse (Hong Kong) Limited,SFClicensees.asp?p=5643&a=0&h=Y&sort=posdn&d=2020-01-22,46,461,507,90.93,SFChistfirm.asp?p=5643&a=0,2008-11-04
GOLDMAN SACHS (ASIA) SECURITIES LIMITED,SFClicensees.asp?p=50833&a=0&h=Y&sort=posdn&d=2020-01-22,21,458,479,95.62,SFChistfirm.asp?p=50833&a=0,2016-10-11
Merrill Lynch (Asia Pacific) Limited,SFClicensees.asp?p=12227&a=0&h=Y&sort=posdn&d=2020-01-22,41,407,448,90.85,SFChistfirm.asp?p=12227&a=0,2017-04-26
